source,target
0,98
0,336
0,697
0,744
0,1040
0,1327
0,1862
0,2055
0,2136
0,2311
0,2652
1,433
1,2681
1,2699
2,83
2,1203
2,1899
3,127
3,141
3,892
3,1040
3,1233
3,1333
3,1431
3,1474
3,2551
4,109
4,2561
4,2648
5,195
5,202
5,455
5,1360
5,1749
5,1913
6,367
6,1142
6,1587
7,984
7,1737
7,1765
8,1658
8,2007
8,2057
9,210
9,439
9,2175
10,339
10,1493
10,1519
10,1604
10,2371
10,2641
11,28
11,724
11,2135
12,1698
12,2327
12,2524
13,1648
13,1758
13,2305
14,233
14,1968
14,2433
15,363
15,1662
15,1664
16,571
16,1543
16,2380
17,287
17,639
17,875
17,1291
17,1311
17,1341
17,1795
17,1891
17,2194
18,294
18,1185
18,1768
18,1814
18,2031
18,2589
19,515
19,790
19,949
19,1321
19,1705
19,1839
20,1431
20,1743
20,1821
21,322
21,1444
21,1477
22,452
22,2289
22,2330
23,181
23,505
23,859
23,1384
23,1533
23,2540
24,1084
24,2000
24,2514
25,970
25,1892
25,2445
26,84
26,409
26,1056
27,33
27,587
27,1318
28,11
28,724
28,2135
29,72
29,460
29,875
29,1131
29,1846
29,2232
29,2257
29,2312
29,2433
29,2514
29,2536
29,2571
30,318
30,1012
30,2579
31,949
31,1854
31,2142
32,568
32,774
32,1573
32,1793
32,2118
32,2525
33,27
33,587
33,1318
34,188
34,842
34,1717
35,147
35,729
35,907
35,1029
35,1075
35,1229
35,1320
35,1456
35,1471
35,1812
35,1974
35,2198
35,2565
35,2584
36,145
36,198
36,259
37,1933
37,2506
37,2562
38,144
38,418
38,1170
39,785
39,1927
39,2226
40,539
40,1544
40,2435
41,306
41,738
41,1013
41,1603
41,1770
41,1860
41,2094
41,2137
41,2311
42,499
42,550
42,714
42,1211
42,1982
42,2529
43,51
43,93
43,1005
43,1311
43,2360
43,2461
44,875
44,1579
44,2696
45,744
45,1401
45,1907
45,2432
46,875
46,1224
46,2456
47,822
47,986
47,2010
48,49
48,1517
48,1734
49,48
49,1517
49,1734
50,1402
50,2406
50,2703
51,43
51,859
51,996
51,1088
51,1167
51,1311
51,1340
51,1973
51,2031
51,2145
51,2344
51,2360
51,2380
51,2497
51,2646
52,54
52,429
52,772
52,875
52,941
52,1275
52,2177
52,2404
52,2590
53,316
53,1944
53,2609
54,52
54,75
54,148
54,665
54,875
54,906
54,1295
54,1827
54,2177
55,1021
55,1950
55,2476
56,269
56,1040
56,1548
57,311
57,2463
57,2495
58,313
58,727
58,1570
59,533
59,1143
59,1828
60,158
60,515
60,760
61,500
61,574
61,1919
62,167
62,325
62,1764
63,858
63,1522
63,2032
64,527
64,932
64,2096
65,1023
65,1368
65,2687
66,519
66,911
66,1072
67,551
67,692
67,829
67,905
67,1186
67,1348
67,1462
67,1623
67,2186
68,358
68,675
68,1295
69,771
69,2613
69,2679
70,234
70,364
70,1625
71,1306
71,1536
71,2060
72,29
72,875
72,2433
73,1293
73,2170
73,2211
74,1100
74,1612
74,1700
75,54
75,148
75,906
76,935
76,1780
76,2039
77,468
77,1518
77,2242
78,699
78,749
78,1228
79,1600
79,2203
79,2300
80,759
80,887
80,2567
81,134
81,797
81,1286
82,225
82,1541
82,1659
82,1789
82,2534
82,2553
83,2
83,1203
83,1899
84,26
84,409
84,1056
85,717
85,921
85,1066
86,220
86,1424
86,2631
87,324
87,511
87,2086
88,105
88,842
88,1657
88,1874
88,2077
88,2657
89,395
89,2364
89,2616
90,502
90,1004
90,1147
90,1419
90,2034
90,2107
90,2412
90,2570
91,439
91,1702
91,2476
92,143
92,1829
92,2395
93,43
93,226
93,857
93,1005
93,1121
93,1878
93,2306
93,2461
93,2627
94,616
94,1364
94,2071
94,2465
94,2533
95,466
95,1166
95,1437
96,327
96,1398
96,2430
97,622
97,989
97,2463
98,0
98,1327
98,2136
99,961
99,1212
99,2102
100,664
100,789
100,901
100,1167
100,1460
100,1484
100,1496
100,1703
100,2191
100,2254
100,2448
100,2662
101,331
101,584
101,1240
101,1469
101,1649
101,1699
101,2043
101,2207
102,607
102,1443
102,2583
103,414
103,2134
103,2189
104,1716
104,1945
104,2447
105,88
105,1657
105,2077
106,875
106,2063
106,2191
107,532
107,1628
107,2427
108,1075
108,2198
108,2290
109,4
109,2561
109,2648
110,407
110,1100
110,1700
111,764
111,1106
111,2620
112,273
112,1216
112,1278
112,1342
112,2171
112,2331
113,557
113,1299
113,2123
114,118
114,1119
114,1399
114,1574
114,2389
114,2615
115,912
115,1233
115,1311
115,1969
115,2003
115,2191
116,1262
116,1439
116,1923
117,1890
117,2284
117,2554
118,114
118,1574
118,2615
119,767
119,1947
119,2165
120,1103
120,1116
120,1372
120,1451
120,1911
120,2125
121,332
121,939
121,2351
122,1430
122,1480
122,2016
123,707
123,1791
123,1943
124,992
124,1698
124,2601
125,524
125,782
125,809
125,940
125,1031
125,1035
125,1380
125,1740
125,1749
125,2072
125,2087
125,2091
125,2099
125,2264
125,2650
126,1760
126,2177
126,2536
127,3
127,141
127,1333
128,246
128,954
128,1331
129,679
129,1250
129,1279
130,1226
130,1304
130,2663
131,445
131,457
131,960
132,229
132,671
132,2140
133,1248
133,1964
133,2692
134,81
134,231
